,state,Coal_variable_om_per_mwh,Coal_fixed_om_per_kw_year,Coal_capital_cost_per_kw,Gas_variable_om_per_mwh,Gas_fixed_om_per_kw_year,Gas_capital_cost_per_kw,Gas_CC_variable_om_per_mwh,Gas_CC_fixed_om_per_kw_year,Gas_CC_capital_cost_per_kw,Gas_SC_variable_om_per_mwh,Gas_SC_fixed_om_per_kw_year,Gas_SC_capital_cost_per_kw,Wind_variable_om_per_mwh,Wind_fixed_om_per_kw_year,Wind_capital_cost_per_kw,Solar_variable_om_per_mwh,Solar_fixed_om_per_kw_year,Solar_capital_cost_per_kw,Wind_storage_om_per_kw_year,Wind_storage_cap_per_kw,Solar_storage_om_per_kw_year,Solar_storage_cap_per_kw,Gas_storage_om_per_kw_year,Gas_storage_cap_per_kw,Gas_CC_storage_om_per_kw_year,Gas_CC_storage_cap_per_kw,Gas_SC_storage_om_per_kw_year,Gas_SC_storage_cap_per_kw,Coal_storage_cap_per_kw,Coal_storage_om_per_kw_year
23,HI,13.67103423,111.9797045,4664.745917,1.714969369,26.18251532,961.5653859,1.714969369,26.18251532,961.5653859,4.189981982,56.23345586,2080.18645,0.0,41.11054414,1324.813838,0.0,19.44125428,1091.170991,30.87387387,1234.968468,30.87387387,1234.968468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,OK,12.597858042945,103.18929769674999,4298.563362515501,1.686458003240375,25.747231002805,945.5793613594125,1.686458003240375,25.747231002805,945.5793613594125,4.28478032434275,57.50573779883249,2127.25066843125,0.0,39.2554308356825,1265.03161356025,0.0,19.390220987515,1088.306667148625,29.48069031161625,1179.2405158815,30.79282995109125,1231.7266757715001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,NC,12.29025977277,100.6697543455,4193.606579383,1.66352028793,25.3970398604,932.718424323,1.66352028793,25.3970398604,932.718424323,4.265401657675999,57.24565806547999,2117.6298060999998,0.0,38.68502203574,1246.649821558,0.0,18.75108975306,1052.4344208195,29.05231531167,1162.1053283879999,29.777851347615,1191.127087386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,GA,12.167220464700002,99.66193700500001,4151.62386613,1.66352028793,25.3970398604,932.718424323,1.66352028793,25.3970398604,932.718424323,4.2769241081265,57.400300069095,2123.3503188375003,0.0,38.304749502445,1234.3952935565,0.0,18.7122072445,1050.2520788375,28.7667319783725,1150.681870059,29.716103599875,1188.65715045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,NV,13.15153492926,107.72447572899999,4487.485572154,1.8449640471702002,28.167149981256003,1034.4520421512202,1.8449640471702002,28.167149981256003,1034.4520421512202,4.587192273893599,61.56438747552799,2277.3881254599996,0.0,39.030350606516,1257.7782577972,0.0,19.880626626728,1115.8314553966,29.311655852178003,1172.4790635192,31.571623419462,1262.8787553768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,UT,12.709504822489997,104.1037986168333,4336.658787504332,1.7304040933209999,26.41815795788,970.2194743731,1.7304040933209999,26.41815795788,970.2194743731,4.375737849868666,58.72647240312666,2172.408049283333,0.0,39.109830991853336,1260.3395645506666,0.0,19.59030389614666,1099.5366352643332,29.371345341660003,1174.8666692240001,31.110573569669995,1244.436559588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,ID,12.871278727545,105.42889178675,4391.8582808555,1.7346915167434998,26.483614246179997,972.6233878378499,1.7346915167434998,26.483614246179997,972.6233878378499,4.37853117119,58.76396137369999,2173.79484025,0.0,39.75389618338,1281.094981346,0.0,19.82035873846,1112.4488253245001,29.85503603229,1194.214508556,31.475914410465002,1259.0503531260001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,KY,12.900899301710002,105.67151447983335,4401.965230342334,1.7101102891211668,26.108331526593332,958.84095063995,1.7101102891211668,26.108331526593332,958.84095063995,4.296128192210666,57.65803674178666,2132.884506733333,0.0,40.11703932328333,1292.7975035816667,0.0,19.434773861906667,1090.8072673363336,30.127755251474998,1205.12339669,30.863582578710005,1234.5568118440003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,DE,13.611793081670003,111.49445911383334,4644.532018026334,1.766990106526333,26.97671828470666,990.7328692722998,1.766990106526333,26.97671828470666,990.7328692722998,4.370151207226,58.65149446197999,2169.63446735,0.0,40.50758949261333,1305.3832350426665,0.0,20.011531072213334,1123.1786734026668,30.421057053239995,1216.855597136,31.779507503520005,1271.1942097280003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,AL,12.12620736201,99.3259978915,4137.629628379,1.6560887539976665,25.283582294013332,928.5516409840999,1.6560887539976665,25.283582294013332,928.5516409840999,4.259815015033333,57.17068012433333,2114.856224166667,0.0,38.06836387364001,1226.7776139880002,0.0,18.72192787164,1050.7976643329998,28.589207203620006,1143.5808013680003,29.731540536809998,1189.274634684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,IL,13.539792301392,110.9046993368,4619.9643561968,1.8065487333045995,27.580661638087992,1012.9129775070597,1.8065487333045995,27.580661638087992,1012.9129775070597,4.459816821640801,59.85489041738401,2214.1504573800007,0.0,41.496983254916,1337.2670880772002,0.0,19.938950389568,1119.1049683696,31.164088284378003,1246.5771715992,31.664245041072004,1266.5836607808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,SD,12.978368495679998,106.30606613866665,4428.398790538667,1.6861007179551664,25.741776312113327,945.3790352373497,1.6861007179551664,25.741776312113327,945.3790352373497,4.250736720739,57.048840969969994,2110.349153525,0.0,39.73334091131,1280.432574427,0.0,19.91432480081333,1117.7228184476664,29.839599095355002,1193.5970243220002,31.625138134169994,1265.0193673879996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,MT,12.841658153380001,105.18626909366667,4381.751331368667,1.699534644679,25.94687268212,952.9112974269,1.699534644679,25.94687268212,952.9112974269,4.301714834853333,57.73301468293333,2135.6580886666666,0.0,39.767599698093335,1281.5365859586668,0.0,19.856001037973336,1114.4493054746667,29.86532732358,1194.626164712,31.532516512560004,1261.3144619840002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
