,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions
825,Lockport Energy Associates LP,NY,43.161947,-78.744971,1992,Gas_CC,219,118965000.0,1539734.668,91498.818
554,Concord,WI,43.1669,-88.69,1993,Gas_SC,380,93118000.0,1246087.077,74053.895
651,Evander Andrews Power Complex,ID,43.179176,-115.734315,2001,Gas_SC,269,280995000.0,2986230.084,177466.461
1055,Renaissance Power Plant,MI,43.1864,-84.8429,2002,Gas_SC,780,1183096000.0,12729140.542,756474.183
516,Germantown,WI,43.1952,-88.1496,1978,Oil,334,11508000.0,182282.465,11944.483
552,Lime Creek,IA,43.2481,-93.205,1991,Oil,90,647000.0,8588.448999999999,690.698
774,Indeck Corinth Energy Center,NY,43.25,-73.8125,1995,Gas_CC,147,391328000.0,3143564.2,186815.925
129,Lansing,IA,43.3359,-91.1675,1948,Coal,339,405557000.0,4329877.575,453574.457
478,Somerset Operating Co LLC,NY,43.358889,-78.604722,1984,Coal,655,160448000.0,1699406.1590000002,174360.03000000003
430,Port Washington Generating Station,WI,43.3842,-87.8689,1935,Gas_CC,1543,8508804000.0,57597461.083,3422935.237
296,Oswego Harbor Power,NY,43.4586,-76.5319,1948,Oil,1894,51397000.0,606458.455,47784.098
772,Indeck Oswego Energy Center,NY,43.471745,-76.493474,1990,Gas_CC,57,20428000.0,184664.225,10974.925
673,Columbia (WI),WI,43.4864,-89.4203,1975,Coal,1112,5644215000.0,59242619.219,6212741.745
845,Sithe Independence Station,NY,43.495,-76.4511,1994,Gas_CC,1084,4214176000.0,29589731.873,1758469.349
440,Genoa,WI,43.5589,-91.2325,1969,Coal,345,1006246000.0,10542454.298,1105690.912
559,Angus Anson,SD,43.60347,-96.6356,1994,Gas_SC,404,144971000.0,1656245.238,98691.592
197,Dan E Karn,MI,43.644996,-83.840074,1959,Gas_SC,1945,1828950000.0,20504908.273,2109575.665
1012,Westbrook Energy Center Power Plant,ME,43.6575,-70.375,2001,Gas_CC,563,1133481000.0,6961177.045,413690.835
433,Edgewater,WI,43.715142,-87.705863,1951,Coal,833,1189922000.0,12373316.499,1297712.24
555,South Fond Du Lac,WI,43.7353,-88.496667,1993,Gas_SC,380,27556000.0,459570.29,27342.738
178,William F Wyman Hybrid,ME,43.7508,-70.1567,1957,Oil,861,18599000.0,193733.896,16456.563000000002
1192,Sheboygan Falls,WI,43.751826,-87.878056,2005,Gas_SC,346,604879000.0,6387969.782000001,379628.711
645,Lakefield Junction,MN,43.798439,-94.841451,2001,Gas_SC,536,43023000.0,552603.137,32961.788
621,Pleasant Valley (MN),MN,43.799446,-92.682874,2001,Gas_SC,466,33346000.0,369594.822,21964.841
729,CH Resources Beaver Falls,NY,43.8861,-75.4342,1995,Gas_CC,107,2418000.0,19862.319,1180.788
1266,Langley Gulch Power Plant,ID,43.904444,-116.819722,2012,Gas_CC,318,1561807000.0,10555784.794,627313.996
870,Michigan Power LP,MI,43.9375,-86.425,1995,Gas_CC,138,1084461000.0,9449816.174,561589.46
730,Carthage Energy LLC,NY,43.9842,-75.6225,1991,Gas_CC,62,4983000.0,42939.676,2551.519
467,Cascade Creek,MN,44.0322,-92.4908,1975,Gas_SC,84,10936000.0,177946.08599999998,6756.715
1081,Lange Gas Turbines,SD,44.1203,-103.26,2002,Gas_SC,40,40236000.0,375206.784,22296.534
922,Alliant Energy Neenah,WI,44.1936,-88.5064,2000,Gas_SC,370,421449000.0,4657196.2,274772.3
1185,Mankato Energy Center,MN,44.1988,-94.003,2006,Gas_CC,740,2908179000.0,20908426.906,1242560.548
1109,Combined Locks Energy Center,WI,44.2717,-88.3011,2002,Gas_CC,66,510036000.0,3742217.103,222398.794
1153,Island Street Peaking Plant,WI,44.2761,-88.2658,2004,Gas_SC,60,3308000.0,35796.072,2127.082
1080,Neil Simpson Gas Turbine #2,WY,44.285,-105.3786,2001,Gas_SC,40,15945000.0,168852.662,10034.43
583,Neil Simpson II,WY,44.2856,-105.3833,1995,Coal,130,786000000.0,9468885.876,960076.625
1082,Wygen 1,WY,44.2858,-105.3833,2003,Coal,90,770923000.0,8761068.827,918861.708
486,Wyodak,WY,44.290128,-105.381482,1978,Coal,402,2010496000.0,22292803.882,2338068.07
1242,Deer Creek Station,SD,44.290833,-96.526667,2012,Gas_CC,324,781776000.0,6080891.311,361376.841
1237,Wygen III,WY,44.2919,-105.3806,2010,Coal,116,933026000.0,9668215.844,1014000.898
1211,Wygen 2,WY,44.2919,-105.3811,2008,Coal,95,783825000.0,8916959.037,935205.921
445,John P Madgett,WI,44.303583,-91.912647,1979,Coal,387,1566399000.0,17609570.054,1846887.813
1177,Fox Energy Center,WI,44.3204,-88.208889,2005,Gas_CC,617,4571017000.0,29041696.1,1725908.957
1191,Faribault Energy Park,MN,44.3356,-93.290556,2005,Gas_CC,334,730686000.0,5139678.28,305444.77
1241,Dry Fork Station,WY,44.388889,-105.460833,2011,Coal,483,3531084000.0,34473079.203,3615537.429
875,De Pere Energy Center,WI,44.44861,-88.07204,1999,Gas_SC,192,127959000.0,1335709.702,79382.394
876,Androscoggin Energy Center,ME,44.506315,-70.242312,1999,Gas_SC,162,374378000.0,4668678.569,277735.255
