,name,PM25RT
415,Naknek,0.31
416,Naknek,0.31
417,New Stuyahok,0.31
418,New Stuyahok,0.31
419,New Stuyahok,0.31
420,New Stuyahok,0.31
421,Newhalen,
422,Newhalen,
423,Newhalen,
424,Newhalen,
425,Newhalen,0.31
426,Newhalen,0.31
427,Newhalen,0.31
428,Newhalen,
429,Newhalen,
430,Nikiski Combined Cycle,0.0062
431,Nikiski Combined Cycle,0.0004
432,Noatak,0.31
433,Noatak,0.31
434,Noatak,0.31
435,Noatak,
436,Noorvik,0.31
437,Noorvik,
438,Noorvik,0.31
439,Noorvik,
440,Noorvik,0.31
441,North Pole,0.31
442,North Pole,
443,North Pole,0.018
444,North Pole,0.018
445,Northway,0.31
446,Northway,0.31
447,Northway,
448,Northway,0.31
449,NSB Anaktuvuk Pass,0.31
450,NSB Anaktuvuk Pass,0.31
451,NSB Anaktuvuk Pass,0.31
452,NSB Anaktuvuk Pass,
453,NSB Anaktuvuk Pass,
454,NSB Anaktuvuk Pass,0.31
455,NSB Anaktuvuk Pass,0.31
456,NSB Atqasuk Utility,0.31
457,NSB Atqasuk Utility,0.31
458,NSB Atqasuk Utility,0.31
459,NSB Atqasuk Utility,
460,NSB Atqasuk Utility,0.31
461,NSB Atqasuk Utility,0.31
462,NSB Kaktovik Utility,0.31
463,NSB Kaktovik Utility,0.31
464,NSB Kaktovik Utility,0.31
465,NSB Kaktovik Utility,0.31
466,NSB Nuiqsut Utility,0.31
467,NSB Nuiqsut Utility,0.31
468,NSB Nuiqsut Utility,0.31
469,NSB Nuiqsut Utility,0.0004
470,NSB Nuiqsut Utility,
471,NSB Nuiqsut Utility,0.0004
472,NSB Nuiqsut Utility,0.0004
473,NSB Point Hope Utility,
474,NSB Point Hope Utility,0.31
475,NSB Point Hope Utility,
476,NSB Point Hope Utility,
477,NSB Point Hope Utility,
478,NSB Point Hope Utility,
479,NSB Point Hope Utility,0.31
480,NSB Point Hope Utility,0.31
481,NSB Point Hope Utility,0.31
