,Plant Name,Planned Retirement Year,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions,rep_fuel,metric,em_red,cum_red,cum_red_prev,ori_rep,cum_emission,new_capacity
42,,,El Centro Hybrid,CA,32.802222,-115.54,1952,Gas_CC,435,660521000.0,5363384.605,318738.575,Gas,-93.83748383970148,93346.22388578329,0.02656135808374047,0.026468011859854687,Gas_CC→Gas,40171192.500999995,669.2307692307692
287,,,E F Barrett,NY,40.616689,-73.647881,1956,Gas_SC,684,1469493000.0,15812832.339,941535.239,Gas,-93.07963965254092,440093.97942478023,0.027001452063165246,0.026561358083740466,Gas_SC→Gas,41112727.739999995,1052.3076923076924
136,,,Ames Electric Services Power Plant,IA,42.0258,-93.6089,1968,Gas_SC,108,263519000.0,3554398.289,210709.305,Gas,-92.70114512039473,120787.61140771864,0.027122239674572966,0.027001452063165246,Gas_SC→Gas,41323437.044999994,166.15384615384616
290,,,Northport,NY,40.923565,-73.342323,1967,Gas_SC,1564,3136361000.0,31779700.968,1892666.569,Gas,-91.71548510824236,822432.9507911378,0.027944672625364105,0.027122239674572966,Gas_SC→Gas,43216103.61399999,2406.1538461538457
379,,,Victoria,TX,28.7883,-97.01,1955,Gas_CC,712,966155000.0,7497727.98,445582.317,Gas,-89.99199429569263,115897.19420942094,0.028060569819573524,0.027944672625364105,Gas_CC→Gas,43661685.930999994,1095.3846153846155
197,,,Dan E Karn,MI,43.644996,-83.840074,1959,Gas_SC,1945,1828950000.0,20504908.273,2109575.665,Wind,-88.57992986075155,2109575.665,0.030170145484573526,0.028060569819573524,Gas_SC→Wind,45771261.59599999,3740.3846153846157
28,,,Thomas Fitzhugh,AR,35.462382,-93.804926,1963,Gas_CC,185,434792000.0,3751482.31,223336.403,Gas,-87.99433670655881,74970.50528342093,0.030245115989856946,0.030170145484573526,Gas_CC→Gas,45994597.99899999,284.6153846153846
223,,,Jack Watson,MS,30.4392,-89.0286,1957,Gas_SC,1212,2392307000.0,23890945.719,1416769.574,Gas,-86.61508783466508,600432.622840236,0.030845548612697185,0.030245115989856946,Gas_SC→Gas,47411367.57299999,1864.6153846153848
15,,,West Phoenix,AZ,33.4417,-112.1583,1948,Gas_CC,1324,2726067000.0,20384204.648,1211403.972,Gas,-86.05298957379607,281176.69622091134,0.031126725308918097,0.030845548612697185,Gas_CC→Gas,48622771.544999994,2036.923076923077
203,,,St Clair,MI,42.7642,-82.4719,1953,Coal,1923,1885094000.0,19903603.932,2087492.367,Wind,-83.62341547573405,2087492.367,0.0332142176759181,0.031126725308918097,Coal→Wind,50710263.91199999,3698.0769230769233
268,,,PSEG Linden Generating Station,NJ,40.6217,-74.2072,1957,Gas_CC,2118,3409922000.0,24664883.538,1465896.209,Gas,-82.36799829270457,302314.22342180926,0.0335165318993399,0.0332142176759181,Gas_CC→Gas,52176160.12099999,3258.4615384615386
352,,,Brunner Island,PA,40.096111,-76.6962,1961,Gas_SC,1621,2060637000.0,19918795.885,1342783.238,Gas,-81.71400321745233,639623.4319939135,0.034156155331333815,0.0335165318993399,Gas_SC→Gas,53518943.35899999,2493.846153846154
575,,,George Neal South,IA,42.3006,-96.3617,1979,Coal,695,759395000.0,7135139.05,748335.0499999999,Wind,-80.74365635433911,748335.0499999999,0.034904490381333815,0.034156155331333815,Coal→Wind,54267278.40899999,1336.5384615384614
294,,,Bethlehem Energy Center,NY,42.594196,-73.763752,1952,Gas_CC,1292,3346011000.0,34172719.047,2030841.502,Gas,-80.15579317699225,889068.1350002659,0.035793558516334076,0.034904490381333815,Gas_CC→Gas,56298119.91099998,1987.6923076923076
293,,,Greenidge Generation LLC,NY,42.6789,-76.9483,1950,Gas_SC,162,392792000.0,3849053.684,228303.061,Gas,-78.79370904971468,94268.99943518158,0.03588782751576926,0.035793558516334076,Gas_SC→Gas,56526422.97199998,249.23076923076923
335,,,Northeastern,OK,36.4317,-95.7008,1961,Coal,1949,3054286000.0,34998029.009,2688246.005,Gas,-78.65187761506212,1646019.1832710365,0.037533846699040294,0.03588782751576926,Coal→Gas,59214668.97699998,2998.461538461538
95,,,Arvah B Hopkins,FL,30.4522,-84.4,1970,Gas_CC,1107,1412279000.0,11056639.06,657115.279,Gas,-78.54769473693746,175197.3926054192,0.03770904409164571,0.037533846699040294,Gas_CC→Gas,59871784.25599998,1703.076923076923
9,,,Platte,NE,40.854765,-98.348222,1982,Coal,109,409993000.0,4842587.007,507889.874,Gas,-78.31107890275135,367986.2430626474,0.038077030334708356,0.03770904409164571,Coal→Gas,60379674.12999998,167.69230769230768
244,,,Lon Wright,NE,41.4281,-96.4623,1957,Coal,211,327347000.0,3305806.129,340384.907,Gas,-78.03330359620409,228682.9172673715,0.03830571325197573,0.038077030334708356,Coal→Gas,60720059.03699998,324.6153846153846
371,,,Bull Run,TN,36.0211,-84.1567,1967,Coal,950,739769000.0,7270929.042,745998.767,Wind,-76.88192766077665,745998.767,0.039051712018975726,0.03830571325197573,Coal→Wind,61466057.803999975,1826.923076923077
221,,,Chevron Oil,MS,30.34,-88.4919,1967,Gas_SC,169,600125000.0,6774642.308,402605.776,Gas,-76.55476276025,197822.60527201512,0.039249534624247746,0.039051712018975726,Gas_SC→Gas,61868663.579999976,260.0
53,,,McWilliams,AL,31.400255,-86.476449,1954,Gas_CC,653,2879239000.0,29887417.483,1776162.766,Gas,-74.18439535824486,793667.9662438284,0.04004320259049157,0.039249534624247746,Gas_CC→Gas,63644826.34599998,1004.6153846153846
394,,,Plant X,TX,34.1661,-102.4114,1952,Gas_SC,434,976440000.0,10435557.995,620181.384,Gas,-73.8738907095444,286986.66752321,0.040330189258014786,0.04004320259049157,Gas_SC→Gas,64265007.72999998,667.6923076923077
255,,,Fort Churchill,NV,39.1281,-119.1322,1968,Gas_SC,230,660444000.0,7254595.796,431131.175,Gas,-73.12112988498973,205765.09891872815,0.04053595435693351,0.040330189258014786,Gas_SC→Gas,64696138.90499998,353.84615384615387
103,,,Grand Tower Energy Center LLC,IL,37.6577,-89.511161,1951,Gas_CC,639,1171248000.0,11380872.664,676329.532,Gas,-73.01785943342817,276659.664641015,0.040812614021574524,0.04053595435693351,Gas_CC→Gas,65372468.43699998,983.0769230769231
348,,,Shawville,PA,41.06755,-78.366228,1954,Gas_SC,632,1481276000.0,15157043.114,900764.211,Gas,-70.99452065934662,395302.1889158233,0.04120791621049035,0.040812614021574524,Gas_SC→Gas,66273232.64799998,972.3076923076924
446,,,Thomas C Ferguson,TX,30.558,-98.3705,1974,Gas_CC,1020,2336710000.0,23833676.627,1416400.308,Gas,-69.55577065584271,619034.9543290321,0.04182695116481938,0.04120791621049035,Gas_CC→Gas,67689632.95599999,1569.2307692307693
250,,,Sheldon,NE,40.5589,-96.7847,1961,Coal,227,563013000.0,5786358.566,606873.678,Gas,-69.23329572397546,414754.39068306604,0.04224170555550245,0.04182695116481938,Coal→Gas,68296506.63399999,349.2307692307692
252,,,North Omaha,NE,41.32909,-95.94466,1954,Coal,642,1947607000.0,20227757.291,2105599.714,Gas,-68.57086450023415,1441009.6089518545,0.043682715164454294,0.04224170555550245,Coal→Gas,70402106.34799999,987.6923076923076
332,,,Muskogee,OK,35.76135,-95.28732,1956,Gas_SC,1889,2887174000.0,31639775.147,2623045.207,Gas,-67.99564179161179,1637842.7139137278,0.04532055787836803,0.043682715164454294,Gas_SC→Gas,73025151.55499999,2906.153846153846
384,,,Sabine,TX,30.0242,-93.878,1962,Gas_SC,2049,4956860000.0,50392669.797,2994758.426,Gas,-67.00096928677426,1303308.298685325,0.04662386617705336,0.04532055787836803,Gas_SC→Gas,76019909.98099999,3152.3076923076924
694,,,Cheswick Power Plant,PA,40.5383,-79.7906,1970,Coal,637,645388000.0,6543784.6620000005,665475.228,Wind,-66.52178584065972,665475.228,0.04728934140505336,0.04662386617705336,Coal→Wind,76685385.20899999,1225.0000000000002
13,,,Cholla,AZ,34.9394,-110.3033,1962,Coal,1127,3529723000.0,40707844.837,4176620.563,Gas,-66.32273510587835,2972158.3797356887,0.05026149978478904,0.04728934140505336,Coal→Gas,80862005.77199998,1733.8461538461538
273,,,Rio Grande,NM,31.8047,-106.5472,1957,Gas_SC,397,928728000.0,9949978.056,591310.323,Gas,-65.99092899419082,274396.5723916101,0.05053589635718065,0.05026149978478904,Gas_SC→Gas,81453316.09499998,610.7692307692307
393,,,Nichols,TX,35.283357,-101.746423,1960,Gas_SC,473,1351105000.0,14264860.448,847745.3369999999,Gas,-64.47217283546576,386702.1111946526,0.0509225984683753,0.05053589635718065,Gas_SC→Gas,82301061.43199998,727.6923076923077
160,,,Elmer Smith,KY,37.7942,-87.0608,1964,Coal,445,501812000.0,4914382.851,504216.512,Wind,-63.28115052015043,504216.512,0.0514268149803753,0.0509225984683753,Coal→Wind,82805277.94399998,855.7692307692307
10,,,Whelan Energy Center,NE,40.580872,-98.312437,1981,Coal,324,1163179000.0,11683032.735,1225316.813,Gas,-62.27125954395248,828400.3643531236,0.05225521534472843,0.0514268149803753,Coal→Gas,84030594.75699997,498.46153846153845
277,,,Cunningham,NM,32.7131,-103.3533,1957,Gas_SC,517,1345768000.0,14318869.367,850966.878,Gas,-61.49236909961777,391744.8190885086,0.05264696016381694,0.05225521534472843,Gas_SC→Gas,84881561.63499998,795.3846153846154
483,,,Sooner,OK,36.45307,-97.05279,1979,Coal,2088,2562602000.0,26416800.709,2765181.454,Wind,-61.41572410134801,2765181.454,0.05541214161781694,0.052646960163816946,Coal→Wind,87646743.08899997,4015.3846153846152
274,,,Maddox,NM,32.714224,-103.301469,1963,Gas_SC,210,524387000.0,5440333.754,323309.838,Gas,-60.91053622109297,144371.06266396862,0.0555565126804809,0.05541214161781694,Gas_SC→Gas,87970052.92699997,323.0769230769231
105,,,Kincaid Generation LLC,IL,39.590556,-89.496389,1967,Coal,1318,1624422000.0,16187689.842,1697765.107,Wind,-58.96950778903677,1697765.107,0.057254277787480906,0.0555565126804809,Coal→Wind,89667818.03399996,2534.6153846153848
499,,,Coronado,AZ,34.5789,-109.2708,1979,Coal,820,3000622000.0,32998176.892,3460853.88,Gas,-58.77244685561538,2436939.050062658,0.05969121683754356,0.057254277787480906,Coal→Gas,93128671.91399996,1261.5384615384614
484,,,Nebraska City,NE,40.6214,-95.7764,1979,Coal,1389,8317716000.0,83716848.543,8770945.502,Gas,-58.616035999491444,5932656.3860743325,0.0656238732236179,0.05969121683754356,Coal→Gas,101899617.41599996,2136.9230769230767
392,,,Jones,TX,33.5239,-101.7392,1971,Gas_SC,858,2817409000.0,28763007.782,1709344.851,Gas,-56.76923286555725,747948.5614643845,0.06637182178508227,0.0656238732236179,Gas_SC→Gas,103608962.26699996,1320.0
631,,,H L Culbreath Bayside Power Station,FL,27.9072,-82.4231,1965,Gas_CC,2785,5013603000.0,53789560.455,3196640.9220000003,Gas,-56.232243786912775,1485828.1428101026,0.06785764992789238,0.06637182178508227,Gas_CC→Gas,106805603.18899997,4284.615384615385
305,,,Roxboro,NC,36.4833,-79.0731,1966,Coal,2573,2310556000.0,55418825.502,5681613.894,Gas,-56.000025475217114,4893173.17944125,0.07275082310733363,0.06785764992789238,Coal→Gas,112487217.08299996,3958.461538461538
129,,,Lansing,IA,43.3359,-91.1675,1948,Coal,339,405557000.0,4329877.575,453574.457,Wind,-55.63969878217711,453574.457,0.07320439756433363,0.07275082310733363,Coal→Wind,112940791.53999996,651.923076923077
84,,,Crist,FL,30.5661,-87.2244,1945,Coal,1226,1308078000.0,14486362.104,1263481.962,Wind,-54.643985566716474,1263481.962,0.07446787952633363,0.07320439756433363,Coal→Wind,114204273.50199996,2357.6923076923076
124,,,Noblesville,IN,40.0969,-85.9714,1950,Gas_CC,283,1199041000.0,12602113.486,748959.963,Gas,-54.40954672104017,339806.17368468444,0.07480768570001832,0.07446787952633363,Gas_CC→Gas,114953233.46499996,435.38461538461536
530,,,Independence Steam Electric Station,AR,35.678442,-91.408761,1983,Coal,1800,3136187000.0,35188269.116000004,3688666.339,Gas,-52.24191979195031,2618492.0955409096,0.07742617779555923,0.07480768570001832,Coal→Gas,118641899.80399996,2769.2307692307695
96,,,S O Purdom,FL,30.162304,-84.200673,1963,Gas_CC,350,663452000.0,6650960.348,395280.832,Gas,-50.46143437601612,168888.32346290682,0.07759506611902213,0.07742617779555923,Gas_CC→Gas,119037180.63599996,538.4615384615385
476,,,Gerald Gentleman,NE,41.0808,-101.1408,1979,Coal,1362,7412380000.0,69650462.925,7304937.575,Gas,-50.14038298329376,4775580.059414579,0.08237064617843672,0.07759506611902213,Coal→Gas,126342118.21099997,2095.3846153846152
4,,,E C Gaston,AL,33.244211,-86.458056,1960,Gas_SC,2033,4159470000.0,44005747.7,3832358.702,Gas,-49.36427036648057,2413005.3087103833,0.08478365148714709,0.08237064617843672,Gas_SC→Gas,130174476.91299997,3127.692307692308
679,,,Anclote,FL,28.184444,-82.788611,1974,Gas_SC,1112,2373107000.0,25707131.313,1527741.288,Gas,-49.22772810719409,717956.0333667551,0.08550160752051385,0.08478365148714709,Gas_SC→Gas,131702218.20099998,1710.7692307692307
51,,,Martin Drake,CO,38.824444,-104.833333,1962,Gas_SC,257,449750000.0,5251736.758,504985.454,Gas,-47.643623786578296,351515.37520822964,0.08585312289572207,0.08550160752051385,Gas_SC→Gas,132207203.65499997,395.38461538461536
518,,,Scherer,GA,33.0606,-83.8075,1982,Coal,3564,6455829000.0,71558364.304,7505037.866,Gas,-47.62131783295481,5302088.260005122,0.0911552111557272,0.08585312289572207,Coal→Gas,139712241.52099997,5483.076923076923
86,,,Big Bend,FL,27.7944,-82.4036,1969,Coal,2076,3335206000.0,40258076.805,2852606.378,Gas,-47.26478928794873,1714520.0464674032,0.0928697312021946,0.0911552111557272,Coal→Gas,142564847.89899996,3193.846153846154
376,,,Kingston,TN,35.8992,-84.5194,1954,Coal,1700,1746724000.0,18878690.876,1958476.24,Gas,-47.109756380638345,1362434.283563143,0.09423216548575773,0.0928697312021946,Coal→Gas,144523324.13899997,2615.3846153846157
325,,,W H Sammis,OH,40.5317,-80.6319,1959,Coal,2464,5476431000.0,53871683.463,5650061.447,Gas,-47.083747453900166,3781315.9282280286,0.09801348141398578,0.09423216548575773,Coal→Gas,150173385.58599997,3790.7692307692305
485,,,Big Stone,SD,45.303652,-96.510067,1975,Coal,451,1744633000.0,19793030.226,2075891.345,Gas,-46.94290567764081,1480562.9092629845,0.09949404432324876,0.09801348141398578,Coal→Gas,152249276.93099996,693.8461538461539
469,,,Nearman Creek,KS,39.1681,-94.6975,1981,Coal,671,1208375000.0,13611277.482,1423278.426,Gas,-46.940402688714876,1010939.5567170526,0.10050498387996581,0.09949404432324876,Coal→Gas,153672555.35699996,1032.3076923076924
357,,,Hunlock Power Station,PA,41.200556,-76.07,1959,Gas_CC,145,269228000.0,2075792.719,123361.755,Gas,-46.6858115408901,31491.955393661454,0.10053647583535946,0.10050498387996581,Gas_CC→Gas,153795917.11199996,223.0769230769231
