,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions,rep_fuel,metric,em_red,cum_red,cum_red_prev,ori_rep,cum_emission
100,Yates,GA,33.4622,-84.8986,1950,Gas_SC,1484,2428382000.0,25020975.687,1486953.61,Gas,-86.41569423492982,658306.635288456,0.018797443903646713,0.01813913726835826,Gas_Gas,39403064.876
629,Encogen,WA,48.746,-122.486,1993,Gas_CC,175,258757000.0,3304024.002,196358.765,Gas,-84.24460926146162,108062.02863997304,0.01890550593228669,0.018797443903646713,Gas_Gas,39599423.641
73,Brandon Shores,MD,39.18,-76.5389,1984,Coal,1370,1148597000.0,12187110.157,1250397.931,Gas,-82.63949812300474,858457.3593713373,0.019763963291658027,0.01890550593228669,Coal_Gas,40849821.572000004
84,Crist,FL,30.5661,-87.2244,1945,Coal,1226,1308078000.0,14486362.104,1263481.962,Gas,-82.62101690838325,817121.0198637433,0.02058108431152177,0.019763963291658027,Coal_Gas,42113303.534
103,Grand Tower Energy Center LLC,IL,37.6577,-89.511161,1951,Gas_CC,639,1171248000.0,11380872.664,676329.532,Gas,-81.89328659835488,276659.664641015,0.020857743976162784,0.02058108431152177,Gas_Gas,42789633.066
93,C D McIntosh Jr,FL,28.0801,-81.9229,1970,Gas_CC,1409,2031202000.0,21820771.667,1583518.393,Gas,-79.41919718629511,890402.8154969391,0.021748146791659723,0.020857743976162784,Gas_Gas,44373151.459
86,Big Bend,FL,27.7944,-82.4036,1969,Coal,2076,3335206000.0,40258076.805,2852606.378,Gas,-78.80619499405131,1714520.0464674032,0.02346266683812713,0.021748146791659723,Coal_Gas,47225757.837
96,S O Purdom,FL,30.162304,-84.200673,1963,Gas_CC,350,663452000.0,6650960.348,395280.832,Gas,-77.37538868769276,168888.32346290682,0.023631555161590035,0.02346266683812713,Gas_Gas,47621038.669
759,Paris Energy Center,TX,33.6968,-95.5577,1989,Gas_CC,264,408641000.0,3474746.948,206500.832,Gas,-76.17261355685721,67058.54969305647,0.023698613711283092,0.023631555161590035,Gas_Gas,47827539.501
575,George Neal South,IA,42.3006,-96.3617,1979,Coal,695,759395000.0,7135139.05,748335.0499999999,Gas,-75.62152202099794,489203.5091793741,0.024187817220462465,0.023698613711283092,Coal_Gas,48575874.551
129,Lansing,IA,43.3359,-91.1675,1948,Coal,339,405557000.0,4329877.575,453574.457,Gas,-74.97722414993673,315184.5409476286,0.02450300176141009,0.024187817220462465,Coal_Gas,49029449.008
376,Kingston,TN,35.8992,-84.5194,1954,Coal,1700,1746724000.0,18878690.876,1958476.24,Gas,-74.5532589106045,1362434.283563143,0.025865436044973236,0.02450300176141009,Coal_Gas,50987925.248
679,Anclote,FL,28.184444,-82.788611,1974,Gas_SC,1112,2373107000.0,25707131.313,1527741.288,Gas,-73.5251972143621,717956.0333667551,0.02658339207833999,0.025865436044973236,Gas_Gas,52515666.536000006
197,Dan E Karn,MI,43.644996,-83.840074,1959,Gas_SC,1945,1828950000.0,20504908.273,2109575.665,Gas,-72.48804549405939,1485475.3857199368,0.028068867464059927,0.02658339207833999,Gas_Gas,54625242.201000005
160,Elmer Smith,KY,37.7942,-87.0608,1964,Coal,445,501812000.0,4914382.851,504216.512,Gas,-72.0822108179505,332981.09859554,0.028401848562655468,0.028068867464059927,Coal_Gas,55129458.71300001
6,Dolet Hills,LA,32.030556,-93.569167,1986,Coal,720,793116000.0,7632777.63,830981.316,Gas,-70.42646962292882,560343.0169204808,0.028962191579575948,0.028401848562655468,Coal_Gas,55960440.02900001
694,Cheswick Power Plant,PA,40.5383,-79.7906,1970,Coal,637,645388000.0,6543784.6620000005,665475.228,Gas,-69.93348025391685,445246.7739449403,0.029407438353520887,0.028962191579575948,Coal_Gas,56625915.25700001
