,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions,rep_fuel,metric,em_red,ori_rep,cum_emission,cum_red,cum_red_prev
693,North Valmy,NV,40.881317,-117.151605,1981,Coal,566,1085346000.0,10399050.569,1090649.724,Gas,10.698670749980794,720220.1712810288,Coal_Gas,215930093.74599993,0.12500426841602238,0.12428404824474136
728,Ebensburg Power,PA,40.455,-78.7472,1990,Coal,57,338299000.0,4743554.563,517889.946,Gas,10.887375034757953,402428.19716112723,Coal_Gas,216447983.69199994,0.12540669661318352,0.12500426841602238
529,R D Green,KY,37.6461,-87.5,1979,Coal,586,1302573000.0,13717138.673,1407376.869,Gas,11.07534416555171,962807.5484572344,Coal_Gas,217855360.56099993,0.12636950416164075,0.12540669661318352
906,Sabine Cogen,TX,30.0444,-93.771389,2000,Gas_CC,105,114266000.0,1585069.487,94199.018,Gas,11.696630959435621,55199.9308232048,Gas_Gas,217949559.57899994,0.12642470409246395,0.12636950416164075
514,Winyah,SC,33.33184,-79.357236,1975,Coal,1260,2631016000.0,26210305.23,2689178.031,Gas,11.934178565953061,1791209.9359626048,Coal_Gas,220638737.60999992,0.12821591402842655,0.12642470409246395
480,Lewis & Clark,MT,47.6785,-104.15665,1958,Coal,68,256912000.0,3179862.54,345979.82,Gas,12.186146241476992,258295.5264676736,Coal_Gas,220984717.42999992,0.12847420955489425,0.12821591402842655
568,Redding Power,CA,40.507292,-122.423281,1989,Gas_CC,180,340140000.0,2737669.894,162700.347,Gas,12.944037195711617,46610.26322779202,Gas_Gas,221147417.77699992,0.12852081981812202,0.12847420955489425
276,San Juan,NM,36.8006,-108.4386,1973,Coal,1848,5352045000.0,59622703.411,6249613.377,Gas,13.764645098401777,4422955.670165677,Coal_Gas,227397031.15399992,0.1329437754882877,0.12852081981812202
13,Cholla,AZ,34.9394,-110.3033,1962,Coal,1127,3529723000.0,40707844.837,4176620.563,Gas,13.861469143068696,2971922.971529755,Coal_Gas,231573651.71699992,0.13591569845981746,0.13294377548828773
454,Newton,IL,38.9361,-88.2781,1977,Coal,1234,2860079000.0,28793934.068,3019906.626,Gas,13.887193966925484,2043759.1258379114,Coal_Gas,234593558.3429999,0.1379594575856554,0.13591569845981746
325,W H Sammis,OH,40.5317,-80.6319,1959,Coal,2464,5476431000.0,53871683.463,5650061.447,Gas,13.92453958304163,3780950.688010417,Coal_Gas,240243619.7899999,0.14174040827366582,0.1379594575856554
765,Bethpage Power Plant,NY,40.7469,-73.4994,1989,Gas_CC,238,539271000.0,4442748.961,264031.917,Gas,14.113653140025958,79978.24625876884,Gas_Gas,240507651.7069999,0.14182038651992457,0.14174040827366582
207,Erickson Station,MI,42.692222,-84.657222,1973,Coal,154,616427000.0,7461886.34,782601.455,Gas,14.482404568912315,572214.3730059656,Coal_Gas,241290253.1619999,0.14239260089293054,0.14182038651992457
419,Transalta Centralia Generation,WA,46.755938,-122.859764,1972,Coal,1778,5470187000.0,60929479.257,6390281.626,Gas,14.801389046241724,4523301.949750094,Coal_Gas,247680534.7879999,0.14691590284268063,0.14239260089293054
510,Merom,IN,39.0694,-87.5108,1982,Coal,1080,2808884000.0,29308006.55,3007001.638,Gas,15.309195482621844,2048327.036758115,Coal_Gas,250687536.4259999,0.14896422987943875,0.14691590284268063
543,Major Oak Power,TX,31.091925,-96.69503,1990,Coal,948,2702959000.0,28259329.438,3076585.624,Gas,15.755049197749743,2154063.3192347754,Coal_Gas,253764122.04999992,0.15111829319867354,0.14896422987943875
11,Escalante,NM,35.4159,-108.082,1984,Coal,257,637931000.0,6378643.973,668993.557,Gas,15.945417285054324,451267.14072761685,Coal_Gas,254433115.60699993,0.15156956033940117,0.15111829319867354
567,Hines Energy Complex,FL,27.788215,-81.869983,1999,Gas_CC,3296,7497927000.0,82539135.494,4905994.901000001,Gas,16.47694123982524,2346945.7637391663,Gas_Gas,259339110.50799993,0.15391650610314034,0.15156956033940117
423,Mitchell (WV),WV,39.8297,-80.8153,1971,Coal,1632,3956208000.0,39052565.323,4000630.396,Gas,16.6178027401304,2650373.0956522627,Coal_Gas,263339740.90399992,0.15656687919879259,0.15391650610314034
933,Lost Pines 1 Power Project,TX,30.1478,-97.2714,2001,Gas_CC,608,1940683000.0,21070905.502,1252212.01,Gas,16.8164921512121,589855.1803260425,Gas_Gas,264591952.91399992,0.15715673437911862,0.15656687919879259
440,Genoa,WI,43.5589,-91.2325,1969,Coal,345,1006246000.0,10542454.298,1105690.912,Gas,16.95587227250586,762258.2594585489,Coal_Gas,265697643.82599992,0.15791899263857717,0.15715673437911862
