,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions,rep_fuel,metric,em_red,cum_red,cum_red_prev,ori_rep,cum_emission
234,Sioux,MO,38.915479,-90.290247,1967,Coal,1098,3014662000.0,30181257.813,3165411.165,Gas,1.1804078635213688,2136705.4069776405,0.1851902335960006,0.18305352818902293,Coal→Gas,294736475.6249999
135,Burlington (IA),IA,40.7412,-91.116667,1968,Coal,288,1224617000.0,12458284.273,1305468.737,Gas,2.161583654772806,887587.5419366504,0.18607782113793722,0.1851902335960006,Coal→Gas,296041944.36199987
198,J H Campbell,MI,42.910296,-86.20074,1962,Coal,1577,7290821000.0,70803324.577,7425853.869,Gas,2.830381631443452,4937976.440813909,0.19101579757875112,0.18607782113793722,Coal→Gas,303467798.2309999
314,Leland Olds,ND,47.280769,-101.321213,1966,Coal,656,3386956000.0,34761578.759,3784483.071,Gas,3.4322777590136946,2628737.8699232694,0.19364453544867438,0.19101579757875112,Coal→Gas,307252281.30199987
201,Monroe (MI),MI,41.8906,-83.3464,1969,Coal,3288,14295504000.0,136084002.376,14276708.615,Gas,3.8264880392983756,9398593.828456212,0.2030431292771306,0.19364453544867438,Coal→Gas,321528989.9169999
382,Newman,TX,31.983587,-106.431777,1960,Gas_CC,879,3118790000.0,29565593.574,1757096.285,Gas,4.1721960186220794,692858.492815485,0.2037359877699461,0.2030431292771306,Gas_CC→Gas,323286086.2019999
318,Miami Fort,OH,39.1128,-84.8036,1949,Coal,1441,7310885000.0,68113794.29,6988482.331,Gas,4.760782637317829,4493758.379943697,0.2082297461498898,0.2037359877699461,Coal→Gas,330274568.5329999
122,Cayuga,IN,39.9242,-87.4244,1970,Coal,1182,4762761000.0,44187386.433,4526193.386,Gas,5.735199434164101,2900976.4745239103,0.2111307226244137,0.2082297461498898,Coal→Gas,334800761.91899985
420,John E Amos,WV,38.4731,-81.8233,1971,Coal,2932,11396439000.0,109028027.615,11181736.999,Gas,7.6765103039696685,7292882.321344402,0.2184236049457581,0.2111307226244137,Coal→Gas,345982498.91799986
350,Keystone,PA,40.6604,-79.3411,1967,Coal,1880,7931612000.0,77364299.749,7937574.553,Gas,8.0734850291377,5231037.324349079,0.22365464227010717,0.2184236049457581,Coal→Gas,353920073.47099984
383,Lewis Creek,TX,30.4356,-95.5214,1970,Gas_SC,542,2362997000.0,23027716.052,1368501.96,Gas,9.381602267375913,562166.5830690004,0.22421680885317619,0.22365464227010717,Gas_SC→Gas,355288575.4309998
123,Edwardsport,IN,38.8067,-87.2472,1944,Coal,947,2897761000.0,23563498.544,2994571.452,Gas,10.502552876894502,2005756.312500902,0.22622256516567707,0.22421680885317619,Coal→Gas,358283146.88299984
315,Milton R Young,ND,47.065854,-101.213093,1970,Coal,734,5172462000.0,51248532.513,5579430.04,Gas,10.788901312185017,3814409.137971232,0.2300369743036483,0.22622256516567707,Coal→Gas,363862576.92299986
345,Conemaugh,PA,40.3842,-79.0611,1970,Coal,1962,8186225000.0,76568322.164,7850456.132999999,Gas,12.483750101231356,5057036.242489358,0.23509401054613766,0.2300369743036483,Coal→Gas,371713033.0559999
158,Mill Creek (KY),KY,38.0525,-85.9103,1972,Coal,1715,7340568000.0,68286753.78299999,6995650.739,Gas,12.751518534106825,4490797.9333605375,0.2395848084794982,0.23509401054613766,Coal→Gas,378708683.7949999
365,Williams,SC,33.0158,-79.9297,1972,Coal,711,2923951000.0,26361645.203,2704237.285,Gas,12.925004653509143,1706485.221957697,0.24129129370145588,0.2395848084794982,Coal→Gas,381412921.0799999
421,FirstEnergy Fort Martin Power Station,WV,39.710833,-79.9275,1967,Coal,1152,5568901000.0,50443729.948,5175523.081,Gas,19.581357547921556,3275223.6363005694,0.24456651733775644,0.24129129370145588,Coal→Gas,386588444.1609999
438,Weston,WI,44.8606,-89.6553,1954,Coal,1161,4569811000.0,38439205.681,4025257.937,Gas,20.72384858531235,2465882.1632734872,0.24703239950102993,0.24456651733775644,Coal→Gas,390613702.0979999
241,Thomas Hill,MO,39.5522,-92.6381,1966,Coal,1181,7266410000.0,70350121.873,7377929.471,Gas,20.942373194626338,4898381.910725829,0.2519307814117558,0.24703239950102993,Coal→Gas,397991631.5689999
240,New Madrid,MO,36.5147,-89.5617,1972,Coal,1300,6524903000.0,59087591.284,6197073.609999999,Gas,24.195156857354394,3970553.593282581,0.25590133500503837,0.2519307814117558,Coal→Gas,404188705.1789999
232,Labadie,MO,38.562244,-90.837686,1970,Coal,2388,17359426000.0,163826168.915,17182089.668,Gas,25.68494316570779,11258459.927033003,0.26715979493207137,0.25590133500503837,Coal→Gas,421370794.8469999
422,FirstEnergy Harrison Power Station,WV,39.384167,-80.3325,1972,Coal,2052,11779753000.0,104654602.334,10737557.678,Gas,25.912395929345085,6717903.156471164,0.2738776980885425,0.26715979493207137,Coal→Gas,432108352.52499986
15,West Phoenix,AZ,33.4417,-112.1583,1948,Gas_CC,1324,2726067000.0,20384204.648,1211403.972,Gas,34.09600024440001,281176.69622091134,0.2741588747847635,0.2738776980885425,Gas_CC→Gas,433319756.49699986
256,Tracy,NV,39.5625,-119.525,1961,Gas_CC,1179,4752087000.0,37371457.612,2220932.507,Gas,35.652641773591576,599357.9293116226,0.27475823271407507,0.2741588747847635,Gas_CC→Gas,435540689.0039999
302,Asheville,NC,35.4731,-82.5417,1964,Gas_CC,1421,3057631000.0,22039315.643,1319492.146,Gas,36.24736732807072,276123.89589180716,0.2750343566099669,0.27475823271407507,Gas_CC→Gas,436860181.1499999
339,Anadarko Plant,OK,35.0847,-98.23,1953,Gas_CC,534,563726000.0,5410401.36,175547.163,Wind,36.62763408268256,175547.163,0.27520990377296684,0.2750343566099669,Gas_CC→Wind,437035728.3129999
225,Moselle,MS,31.528,-89.3004,1970,Gas_CC,509,1882630000.0,15859938.67,942495.124,Gas,51.754743178859776,300077.39318121015,0.27550998116614805,0.27520990377296684,Gas_CC→Gas,437978223.4369999
0,Barry,AL,31.0069,-88.0103,1954,Coal,2839,11673453000.0,91895874.8,6846726.2,Gas,55.40033719763453,2863344.873302883,0.2783733260394509,0.27550998116614805,Coal→Gas,444824949.6369999
48,Cherokee,CO,39.807275,-104.964548,1957,Gas_CC,1425,4021840000.0,31338454.353,1862330.822,Gas,56.0686731813245,489941.4908429263,0.2788632675302939,0.2783733260394509,Gas_CC→Gas,446687280.45899993
82,Crystal River,FL,28.9656,-82.6977,1966,Coal,5299,15609828000.0,116870276.679,8557198.43,Gas,56.56609397796231,3230591.3525436716,0.28209385888283756,0.2788632675302939,Coal→Gas,455244478.88899994
172,Nine Mile Point,LA,29.9472,-90.1458,1951,Gas_SC,2788,9734496000.0,81544367.131,4846137.255,Gas,56.58648481560788,1524394.3575721537,0.2836182532404097,0.28209385888283756,Gas_SC→Gas,460090616.14399993
362,McMeekin,SC,34.0556,-81.2172,1958,Gas_SC,292,1105026000.0,9416088.506,558190.689,Gas,57.21664047108253,181118.0324420125,0.2837993712728517,0.2836182532404097,Gas_SC→Gas,460648806.83299994
31,Dynegy Moss Landing Power Plant Hybrid,CA,36.804837,-121.782241,1967,Gas_SC,2802,5487443000.0,38567163.41,2185318.142,Gas,58.54456515580791,312814.9522827149,0.28411218622513446,0.2837993712728517,Gas_SC→Gas,462834124.97499996
88,John R Kelly,FL,29.6461,-82.3208,1958,Gas_CC,237,833568000.0,6915963.718,410986.712,Gas,66.06295455919067,126544.80730117072,0.2842387310324356,0.28411218622513446,Gas_CC→Gas,463245111.687
161,Paradise,KY,37.2608,-86.9783,1963,Coal,3718,7584661000.0,52114080.138,3316502.109,Gas,71.0126236651527,728356.4252226395,0.28496708745765825,0.2842387310324356,Coal→Gas,466561613.796
